İLAN ADI;MAHALLE;FİYAT;NET(m²);BRÜT(m²);ODA-SALON SAYISI;ODA SAYISI;SALON SAYISI;BANYO SAYISI;FOTOĞRAF SAYISI
ERENKÖY BAĞDATA YAKIN 185M2 45M2 SALONLU 2 BALKONLU ULTRA LÜKS;Erenköy;4.495.000;155;185;4+1;4;1;3;31
GÖZTEPE BAĞDATA YAKIN 4 YILLIK TERASLI MANZARALI DUBLEKS;Göztepe;6.950.000;190;250;5+1;5;1;3;30
KOZYATAĞI YENİ BİNADA ADALAR MANZARALI DUBLEKS 294M2 4+2;Kozyatağı;5.850.000;210;294;4+2;4;2;2;31
CADDEBOSTAN SAHİLDE YATIRIMLIK İÇİ SIFIRLANMIŞ 250 M2 4;Caddebostan;8.900.000;180;250;4+1;4;1;3;31
CITY'DEN ..FENERBAHÇE SAHİL  KATTA TEK 4+1 ''KOMPLE YENİLENMİŞ'';Fenerbahçe;5.950.000;145;185;4+1;4;1;2;31
BOSTANCIDA YENİ BİNADA 5+1 DUBLEKS DAİRE 200M2 NET;Bostancı;5.590.000;200;260;5+1;5;1;2;31
CADDEBOSTAN'DA DİNAMİK'TEN 160m2 NET 3+1 DUBLEKS-TERASLI SATILIK;Göztepe;4.950.000;160;220;3+1;3;1;2;20
SUADİYE KAPTANARİF TE 140 M2 BRÜT YENİ LÜKS;Suadiye;3.150.000;105;140;3+1;3;1;2;18
Fenerbahçe Deniz Manzaralı Güvenlik Kahve Dünyası Süt İş;Fenerbahçe;9.500.000;133;179;3+1;3;1;2;17
CİTYDEN..ERENKÖY TELLİKAVAKTA 5 YILLIK BİNA İÇİ SIFIR 148M2 3+1;Erenköy;3.245.000;108;148;3+1;3;1;2;13
SUADİYE'DE DİNAMİK'TEN ÖN CEPHE BALKONLU 2+1 SATILIK DAİRE;Suadiye;1.950.000;110;140;2+1;2;1;1;12
ŞAŞKINBAKKAL'DA DİNAMİK'TEN CADDEYE PARALEL 3+1 FIRSAT DAİRE;Suadiye;3.500.000;90;120;3+1;3;1;1;10
KADIKÖY BAĞDAT CADDESİ  SATILIK DUBLEX;Caddebostan;8.500.000;213;248;5+2;5;2;4;29
MTS PRIME EMLAK-7 YILLIK BİNA;Fenerbahçe;3.950.000;90;125;3+1;3;1;2;9
Dinamik'ten Selamiçeşme Bağdata ve Özgürlük Parkına Çok yakın;Feneryolu;3.175.000;115;145;3+1;3;1;2;19
4 YAŞINDA ÖNÜ AÇIK EBEVENY BANYOLU ISI PAY ÖLÇERLİ 3+1 DAİRE;Kozyatağı;3.695.000;105;140;3+1;3;1;2;20
İNŞAAT BİTMEDEN ALIN;Bostancı;2.400.000;66;86;2+1;2;1;1;2
BEGÜMDEN  ERENKÖYDE YAPILI ÖZEL TASARIM KONFORLU 3+1;Erenköy;2.950.000;90;120;3+1;3;1;2;31
BEGÜMDEN FENERBAHÇE'DE BAĞDAT CAD.DE BALKONLU 4+1 190M2;Fenerbahçe;5.950.000;150;190;4+1;4;1;2;22
ERENKÖY'DE DİNAMİK'TEN 2 YILLIK YENİ BİNADA GENİŞ 3+1 SATILIK;Erenköy;3.600.000;108;125;3+1;3;1;1;31
CİTYDEN SUADİYE DE MARMARAYA VE BAĞDAT A KOMŞU 160m2 3+1;Suadiye;5.950.000;120;160;3+1;3;1;2;24
CİTYDEN CADDEBOSTAN DA BAKIMLI BİNADA KATTA TEK 185m2 4+1;Göztepe;4.895.000;145;190;4+1;4;1;2;29
CİTY'DEN KALAMIŞTA YAT LİMANINA ADIM MESAFEDE SAKİN SOKAK TA 3+1;Fenerbahçe;3.950.000;95;130;3+1;3;1;2;25
SUADİYE'DE DİNAMİK'TEN 115m NET 3+1 BALKONLU CADDEYE YAKIN;Suadiye;4.350.000;115;140;3+1;3;1;2;26
KADIKÖY; SAHRAYICEDİT;4.950.000;145;182;3+1;3;1;2;36
Çiftehavuzlar'da Bağdat Caddesine Yakın Teraslı Dubleks;Göztepe;6.950.000;205;265;4+1;4;1;3;26
Fenerbahçe Kalamış 6+2 Teraslı Satılık Dubleks Daire;Fenerbahçe;9.950.000;280;340;6+2;6;2;4;26
CADDEBOSTAN SAHİLDE BAĞDATA 2.BİNA SIFIR KATTA TEK 154M2 3+1;Caddebostan;7.595.000;110;154;3+1;3;1;2;27
CITY'DEN.. ERENKÖY DİVAN'IN SOKAĞINDA TERASLI MÜKEMMEL DUBLEX..;Erenköy;6.050.000;210;250;4+2;4;2;3;27
CİTY DEN FENERBAHÇE DE KALAMIŞ CADDESİNE 2.BİNADA 165m2 3+1;Fenerbahçe;7.950.000;120;165;3+1;3;1;2;29
CİTY DEN FENERBAHÇE DE BAĞDAT SAHİL ARASINDA DENİZ MANZARALI KAT;Fenerbahçe;12.950.000;150;210;4+1;4;1;2;36
CİTY DEN SUADİYE DE BAĞDAT CAD. ŞAŞKINBAKKAL A KOMŞU 150m2 3+1;Suadiye;4.375.000;110;150;3+1;3;1;2;23
KADIKÖY'ÜN GÖZBEBEĞİ ŞUA ELİTE CONCEPTREZİDANS SATILIK 2+1 DAİRE;Fikirtepe;1.950.000;73;109;2+1;2;1;1;36
S.ÇEŞME ÖZG.PARKINA 5DK.MESAFEDE NET:220M2.5+2 MUHTEŞEM DUBLEKS;Feneryolu;5.900.000;220;250;5+2;5;2;4;36
ERENKÖY'DE DİNAMİK'TEN 3+1 İSKANLI 90 M2 NET SATILIK;Erenköy;3.950.000;90;130;3+1;3;1;2;19
MTS PRIME EMLAK-40 M2 TERASLI DUBLEKS;Fenerbahçe;9.950.000;300;350;6+2;6;2;4;27
DİNAMİK'TEN CADDEBOSTAN SAHİL'DE SİTE ÖZELLİKLİ 3+1 SATILIK;Caddebostan;4.950.000;98;125;3+1;3;1;2;18
Dinamik'ten Fenerbahçe'de Sahile Yakın İskanlı Geniş 4+1Dinamik';Fenerbahçe;6.850.000;150;255;4+1;4;1;3;30
MTS PRIME EMLAK-SAHİLDE-KATTA TEK;Caddebostan;7.595.000;110;145;3+1;3;1;2;9
SUADİYE AMETİST'TE SATILIK FUL DENİZ MANZARALI MUHTEŞEM DUBLEKS;Bostancı;6.500.000;189;233;4+2;4;2;3;36
Caddebostan Sahil Plaj Yolu Yakın Konumda Satılık Daire;Caddebostan;5.600.000;110;140;3+1;3;1;2;18
SUADİYE MAH.185M2 NET 4+1 KOMBİLİ EBEVEYN BANYOLU SATILIK DAİRE;Suadiye;4.650.000;185;210;4+1;4;1;3;26
Caddebostan 3+1 geniş daire;Caddebostan;4.750.000;118;130;3+1;3;1;1;25
